sampleIndex,SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
141,LPhT_1,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
142,LPhT_2,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
143,LPhT_3,LPhT,13,stationary phase,stationary phase,3h after phosphate-limitation induced stationary phase  (E13_3),treatment,phosphate-limitation medium,13: high/low/limited phosphate-defined medium,Dublin
144,SMMPr_1,SMMPr,14,growing in favorable environment,before changing temperature/adding NaCl,growing in SMM at 37 degree (E14_1),control,SMM,14: changing temperature or adding NaCl,Greifswald
145,SMMPr_2,SMMPr,14,growing in favorable environment,before changing temperature/adding NaCl,growing in SMM at 37 degree (E14_1),control,SMM,14: changing temperature or adding NaCl,Greifswald
146,SMMPr_3,SMMPr,14,growing in favorable environment,before changing temperature/adding NaCl,growing in SMM at 37 degree (E14_1),control,SMM,14: changing temperature or adding NaCl,Greifswald
147,HiTm_1,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
148,HiTm_2,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
149,HiTm_3,HiTm,14,high temperature,high temperature,growing at 51 degree in SMM (E14_2),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
150,LoTm_1,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
151,LoTm_2,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
152,LoTm_3,LoTm,14,low temperature,low temperature,growing at 18 degree in SMM (E14_3),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
153,HiOs_1,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
154,HiOs_2,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
155,HiOs_3,HiOs,14,salinity,salinity,growing in SMM added with NaCl (E14_4),treatment,SMM,14: changing temperature or adding NaCl,Greifswald
156,BMM_1,BMM,15,growing in favorable environment,before changing temperature/adding ethanol,growing in BMM at 37 degree (E15_1),control,BMM,15: changing temperature or adding ethanol,Greifswald
157,BMM_2,BMM,15,growing in favorable environment,before changing temperature/adding ethanol,growing in BMM at 37 degree (E15_1),control,BMM,15: changing temperature or adding ethanol,Greifswald
158,BMM_3,BMM,15,growing in favorable environment,before changing temperature/adding ethanol,growing in BMM at 37 degree (E15_1),control,BMM,15: changing temperature or adding ethanol,Greifswald
159,Heat_1,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
160,Heat_2,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
161,Heat_3,Heat,15,high temperature,high temperature,growing at 48 degree in BMM (E15_2),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
162,Cold_1,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
163,Cold_2,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
164,Cold_3,Cold,15,low temperature,low temperature,growing at 16 degree in BMM (E15_3),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
165,Etha_1,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
166,Etha_2,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
167,Etha_3,Etha,15,ethanol,ethanol,growing in BMM added with ethanol (E15_4),treatment,BMM,15: changing temperature or adding ethanol,Greifswald
168,SMM_1,SMM,16,growing in favorable environment,before adding NaCl,growing in SMM before adding NaCl (E16_1),control,SMM,16: with/without NaCl,Greifswald
169,SMM_2,SMM,16,growing in favorable environment,before adding NaCl,growing in SMM before adding NaCl (E16_1),control,SMM,16: with/without NaCl,Greifswald
170,SMM_3,SMM,16,growing in favorable environment,before adding NaCl,growing in SMM before adding NaCl (E16_1),control,SMM,16: with/without NaCl,Greifswald
171,Salt_1,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
172,Salt_2,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
173,Salt_3,Salt,16,salinity,salinity,growing in SMM after adding NaCl (E16_2),treatment,SMM,16: with/without NaCl,Greifswald
174,Mt0_1,Mt0,17,growing in favorable environment,without mitomycin,growing in LB 0 min without mitomycin (E17_1),control,LB,17: with/without mitomycin,Jouy
175,Mt0_2,Mt0,17,growing in favorable environment,without mitomycin,growing in LB 0 min without mitomycin (E17_1),control,LB,17: with/without mitomycin,Jouy
176,Mt0_3,Mt0,17,growing in favorable environment,without mitomycin,growing in LB 0 min without mitomycin (E17_1),control,LB,17: with/without mitomycin,Jouy
177,M0t45_1,M0t45,17,growing in favorable environment,without mitomycin,growing in LB 45 min without mitomycin (E17_2),control,LB,17: with/without mitomycin,Jouy
178,M0t45_2,M0t45,17,growing in favorable environment,without mitomycin,growing in LB 45 min without mitomycin (E17_2),control,LB,17: with/without mitomycin,Jouy
179,M0t45_3,M0t45,17,growing in favorable environment,without mitomycin,growing in LB 45 min without mitomycin (E17_2),control,LB,17: with/without mitomycin,Jouy
180,M0t90_1,M0t90,17,growing in favorable environment,without mitomycin,growing in LB 90 min without mitomycin (E17_3),control,LB,17: with/without mitomycin,Jouy
181,M0t90_2,M0t90,17,growing in favorable environment,without mitomycin,growing in LB 90 min without mitomycin (E17_3),control,LB,17: with/without mitomycin,Jouy
182,M0t90_3,M0t90,17,growing in favorable environment,without mitomycin,growing in LB 90 min without mitomycin (E17_3),control,LB,17: with/without mitomycin,Jouy
183,M40t45_1,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
184,M40t45_2,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
185,M40t45_3,M40t45,17,with mitomycin,with mitomycin,45 min with mitomycin (E17_4),treatment,LB,17: with/without mitomycin,Jouy
186,M40t90_1,M40t90,17,with mitomycin,with mitomycin,90 min with mitomycin (E17_5),treatment,LB,17: with/without mitomycin,Jouy
187,M40t90_2,M40t90,17,with mitomycin,with mitomycin,90 min with mitomycin (E17_5),treatment,LB,17: with/without mitomycin,Jouy
188,M40t90_3,M40t90,17,with mitomycin,with mitomycin,90 min with mitomycin (E17_5),treatment,LB,17: with/without mitomycin,Jouy
189,dia0_1,dia0,18,growing in favorable environment,without diamide,growing in LB before diamide addition (E18_1),control,LB,18: with/without diamide,Jouy
190,dia0_2,dia0,18,growing in favorable environment,without diamide,growing in LB before diamide addition (E18_1),control,LB,18: with/without diamide,Jouy
191,dia0_3,dia0,18,growing in favorable environment,without diamide,growing in LB before diamide addition (E18_1),control,LB,18: with/without diamide,Jouy
192,dia5_1,dia5,18,oxidative,oxidative,5min after diamide addition (E18_2),treatment,LB,18: with/without diamide,Jouy
193,dia5_2,dia5,18,oxidative,oxidative,5min after diamide addition (E18_2),treatment,LB,18: with/without diamide,Jouy
194,dia5_3,dia5,18,oxidative,oxidative,5min after diamide addition (E18_2),treatment,LB,18: with/without diamide,Jouy
195,dia15_1,dia15,18,oxidative,oxidative,15min after diamide addition (E18_3),treatment,LB,18: with/without diamide,Jouy
196,dia15_2,dia15,18,oxidative,oxidative,15min after diamide addition (E18_3),treatment,LB,18: with/without diamide,Jouy
197,dia15_3,dia15,18,oxidative,oxidative,15min after diamide addition (E18_3),treatment,LB,18: with/without diamide,Jouy
198,Diami_1,Diami,19,oxidative,oxidative,10min after diamide addition (E19_1),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
199,Diami_2,Diami,19,oxidative,oxidative,10min after diamide addition (E19_1),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
200,Diami_3,Diami,19,oxidative,oxidative,10min after diamide addition (E19_1),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
201,Paraq_1,Paraq,19,oxidative,oxidative,10min after paraquat addition (E19_2),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
202,Paraq_2,Paraq,19,oxidative,oxidative,10min after paraquat addition (E19_2),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
203,Paraq_3,Paraq,19,oxidative,oxidative,10min after paraquat addition (E19_2),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
204,H2O2_1,H2O2,19,oxidative,oxidative,10min after H2O2 addition (E19_3),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
205,H2O2_2,H2O2,19,oxidative,oxidative,10min after H2O2 addition (E19_3),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
206,H2O2_3,H2O2,19,oxidative,oxidative,10min after H2O2 addition (E19_3),treatment,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
207,Oxctl_1,Oxctl,19,growing in favorable environment,without oxidative drug,growing in LB without oxidative drug (E19_4),control,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
208,Oxctl_2,Oxctl,19,growing in favorable environment,without oxidative drug,growing in LB without oxidative drug (E19_4),control,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
209,Oxctl_3,Oxctl,19,growing in favorable environment,without oxidative drug,growing in LB without oxidative drug (E19_4),control,LB,19: with/without oxidative drug (diamide/paraquat/H2O2),Newcastle
210,GM-0.1_1,GM-0.1,20,growing in favorable environment,growing with glucose,growing in glucose (E20_1),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
211,GM-0.2_1,GM-0.2,20,growing in favorable environment,growing with glucose,growing in glucose 5 min before malate addition (E20_2),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
212,GM+5_1,GM+5,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 5 min after malate addition (E20_3),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
213,GM+15_1,GM+15,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 15 min after malate addition (E20_5),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
214,GM+25_1,GM+25,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 25 min after malate addition (E20_6),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
215,GM+45_1,GM+45,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 45 min after malate addition (E20_7),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
216,GM+60_1,GM+60,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 60 min after malate addition (E20_8),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
217,GM+90_1,GM+90,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 90 min after malate addition (E20_9),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
218,GM+120_1,GM+120,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 120 min after malate addition (E20_10),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
219,GM+150_1,GM+150,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 150 min after malate addition (E20_11),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
220,GM-0.1_2,GM-0.1,20,growing in favorable environment,growing with glucose,growing in glucose (E20_1),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
221,GM-0.2_2,GM-0.2,20,growing in favorable environment,growing with glucose,growing in glucose 5 min before malate addition (E20_2),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
222,GM+5_2,GM+5,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 5 min after malate addition (E20_3),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
223,GM+10_2,GM+10,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 10 min after malate addition (E20_4),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
224,GM+15_2,GM+15,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 15 min after malate addition (E20_5),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
225,GM+25_2,GM+25,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 25 min after malate addition (E20_6),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
226,GM+45_2,GM+45,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 45 min after malate addition (E20_7),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
227,GM+60_2,GM+60,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 60 min after malate addition (E20_8),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
228,GM+90_2,GM+90,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 90 min after malate addition (E20_9),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
229,GM+150_2,GM+150,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 150 min after malate addition (E20_11),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
230,GM-0.1_3,GM-0.1,20,growing in favorable environment,growing with glucose,growing in glucose (E20_1),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
231,GM-0.2_3,GM-0.2,20,growing in favorable environment,growing with glucose,growing in glucose 5 min before malate addition (E20_2),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
232,GM+5_3,GM+5,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 5 min after malate addition (E20_3),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
233,GM+10_3,GM+10,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 10 min after malate addition (E20_4),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
234,GM+15_3,GM+15,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 15 min after malate addition (E20_5),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
235,GM+25_3,GM+25,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 25 min after malate addition (E20_6),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
236,GM+45_3,GM+45,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 45 min after malate addition (E20_7),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
237,GM+60_3,GM+60,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 60 min after malate addition (E20_8),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
238,GM+90_3,GM+90,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 90 min after malate addition (E20_9),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
239,GM+120_3,GM+120,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 120 min after malate addition (E20_10),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
240,GM+150_3,GM+150,20,growing in favorable environment,shifting from glucose to malate,growing in glucose+malate 150 min after malate addition (E20_11),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
241,MG-0.1_1,MG-0.1,20,growing in favorable environment,growing with malate,growing in malate (E20_12),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
242,MG+5_1,MG+5,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 5 min after glucose addition (E20_14),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
243,MG+10_1,MG+10,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 10 min after glucose addition (E20_15),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
244,MG+15_1,MG+15,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 15 min after glucose addition (E20_16),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
245,MG+25_1,MG+25,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 25 min after glucose addition (E20_17),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
246,MG+45_1,MG+45,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 45 min after glucose addition (E20_18),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
247,MG+120_1,MG+120,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 120 min after glucose addition (E20_21),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
248,MG+150_1,MG+150,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 150 min after glucose addition (E20_22),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
249,MG-0.1_2,MG-0.1,20,growing in favorable environment,growing with malate,growing in malate (E20_12),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
250,MG-0.2_2,MG-0.2,20,growing in favorable environment,growing with malate,growing in malate 5 min before glucose addition (E20_13),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
251,MG+5_2,MG+5,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 5 min after glucose addition (E20_14),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
252,MG+10_2,MG+10,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 10 min after glucose addition (E20_15),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
253,MG+15_2,MG+15,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 15 min after glucose addition (E20_16),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
254,MG+25_2,MG+25,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 25 min after glucose addition (E20_17),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
255,MG+45_2,MG+45,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 45 min after glucose addition (E20_18),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
256,MG+60_2,MG+60,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 60 min after glucose addition (E20_19),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
257,MG+90_2,MG+90,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 90 min after glucose addition (E20_20),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
258,MG+120_2,MG+120,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 120 min after glucose addition (E20_21),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
259,MG-0.1_3,MG-0.1,20,growing in favorable environment,growing with malate,growing in malate (E20_12),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
260,MG-0.2_3,MG-0.2,20,growing in favorable environment,growing with malate,growing in malate 5 min before glucose addition (E20_13),control,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
261,MG+5_3,MG+5,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 5 min after glucose addition (E20_14),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
262,MG+10_3,MG+10,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 10 min after glucose addition (E20_15),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
263,MG+15_3,MG+15,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 15 min after glucose addition (E20_16),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
264,MG+25_3,MG+25,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 25 min after glucose addition (E20_17),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
265,MG+45_3,MG+45,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 45 min after glucose addition (E20_18),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
266,MG+60_3,MG+60,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 60 min after glucose addition (E20_19),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
267,MG+90_3,MG+90,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 90 min after glucose addition (E20_20),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
268,MG+120_3,MG+120,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 120 min after glucose addition (E20_21),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher
269,MG+150_3,MG+150,20,growing in favorable environment,shifting from malate to glucose,growing in malate+glucose 150 min after glucose addition (E20_22),treatment,M9,20: nutrients shift between malate and glucose and vice versa,Buescher